信用卡名稱,銀行,回饋方案,APP切換方案,回饋開始日,回饋到期日,年費,備註
台新Richart卡,台新銀行,一般消費0.5%、Pay著刷(台新Pay 3.8%/LINE Pay 2.3%)、數趣刷(網購/影音 3.3%)、玩旅刷(旅遊 3.3%)、天天刷(超商/交通 3.3%)、大筆刷(百貨 3.3%)、好饗刷(餐廳 3.3%)、假日刷(週末 3.3%),需在「Richart Life APP」每日切換七選一方案,2025-09-01,2026-06-30,0,需設定台新帳戶自動扣繳升級為LEVEL2才享最高回饋
國泰CUBE卡,國泰世華銀行,一般消費0.5%、玩數位(數位通路 3%)、樂饗購(餐廳 3%)、趣旅行(旅遊 3%)、集精選(精選通路 3%)、慶生月(生日月指定通路 10%),需在「CUBE APP」每日切換權益方案,2026-01-01,2026-12-31,3000,需完成指定任務或成為理財貴賓提升等級(Level 1/2/3)
中國信託LINE Pay卡,中國信託,一般消費1%、網購3%、LINE Pay 5%(上限500/月)、國外實體店面2.8%,無需切換,2026-01-01,長期,0,需綁定LINE Pay才享5%回饋;國外消費無上限
玉山Pi拍錢包信用卡,玉山銀行,一般消費1% P幣、國內消費加碼1%(需登錄+滿10筆)、國外消費加碼2%(需登錄+滿3萬)、保費1.2%,無需切換,2026-01-01,2026-02-28,0,需綁定Pi拍錢包APP;P幣可折抵水電費、停車費
中國信託中油聯名卡,中國信託,一般消費0.5%、中油加油4%(搭配中油Pay儲值)、中油便利商店2%,無需切換,2026-01-01,2026-05-31,3000,搭配中油Pay儲值最高可享7.7%回饋
玉山UBear卡,玉山銀行,一般消費1%、指定網購/行動支付3%、指定線上影音平台(Netflix/Disney+) 10%,無需切換,2026-01-01,2026-02-28,0,需綁定帳單e化;網購神卡
聯邦LINE Bank聯名卡,聯邦銀行,一般消費1%、網購/遊戲/影音串流加碼3%(總計4%)、國外消費2.5%,無需切換,2026-01-01,2026-07-31,0,加碼每月上限300元
滙豐匯鑽卡,滙豐銀行,一般消費0.5%、指定行動支付/網購/串流影音3%、指定加油站(搭配行動支付)6%,無需切換,2026-01-01,2026-06-30,2400,指定通路每月上限2000元
滙豐Live+現金回饋御璽卡,滙豐銀行,餐飲/購物/娛樂通路3.88%、完成自動扣繳加碼1%(最高4.88%),無需切換,2026-01-01,2026-03-31,6000,每月上限888元
永豐DAWHO現金回饋卡,永豐銀行,國內一般消費最高4%、符合綁定任務最高6%,無需切換,2026-01-01,2026-12-31,0,每月上限1000元
永豐Sport卡,永豐銀行,一般消費1%、綁定Apple Pay/Google Pay中油加油5%,無需切換,2026-01-01,2026-06-30,0,需綁定行動支付
星展傳說對決卡,星展銀行,一般消費1%、LINE Pay綁定中油加油10%(舊戶限定),無需切換,2025-01-01,2026-06-30,0,2025年申請舊戶限定
遠東商銀樂家+信用卡,遠東商銀,一般消費0.5%、加油4%(需達3000元門檻),無需切換,2026-01-01,2026-06-30,0,有消費門檻限制
台灣企銀永續生活卡,台灣企銀,國內消費0.5%、國外消費1.5%、持有Hokii帳戶並扣繳加碼2%(最高2.5%),無需切換,2026-01-01,2026-06-30,0,回饋無上限
中國信託uniopen聯名卡,中國信託,一般消費1%、指定通路最高11%,無需切換,2026-01-01,2026-06-30,0,需登錄活動
